INSERT INTO Student_Schedule VALUES(1, 'iy5071cs', 4, 4, 3, 20213);
INSERT INTO Student_Schedule VALUES(42, 'iy5071cs', 4, 24, 5, 20245);
INSERT INTO Student_Schedule VALUES(43, 'iy5071cs', 4, 24, 5, 20245);


INSERT INTO Student_Schedule VALUES(44, 'ab1234cd', 2, 27, 1, 20213);
INSERT INTO Student_Schedule VALUES(45, 'ab1234cd', 2, 76, 6, 20213);
INSERT INTO Student_Schedule VALUES(46, 'ab1234cd', 2, 29, 1, 20213);
INSERT INTO Student_Schedule VALUES(47, 'ab1234cd', 2, 1, 3, 20213);
INSERT INTO Student_Schedule VALUES(48, 'ab1234cd', 2, 2, 3, 20213);
INSERT INTO Student_Schedule VALUES(49, 'ab1234cd', 2, 26, 7, 20213);

INSERT INTO Student_Schedule VALUES(50, 'ab1234cd', 2, 30, 1, 20215);
INSERT INTO Student_Schedule VALUES(51, 'ab1234cd', 2, 79, 6, 20215);
INSERT INTO Student_Schedule VALUES(52, 'ab1234cd', 2, 3, 3, 20215);
INSERT INTO Student_Schedule VALUES(53, 'ab1234cd', 2, 4, 3, 20215);
INSERT INTO Student_Schedule VALUES(54, 'ab1234cd', 2, 6, 3, 20215);

INSERT INTO Student_Schedule VALUES(55, 'ab1234cd', 2, 31, 1, 20223);
INSERT INTO Student_Schedule VALUES(56, 'ab1234cd', 2, 41, 6, 20223);
INSERT INTO Student_Schedule VALUES(57, 'ab1234cd', 2, 38, 6, 20223);
INSERT INTO Student_Schedule VALUES(58, 'ab1234cd', 2, 28, 1, 20223);
INSERT INTO Student_Schedule VALUES(59, 'ab1234cd', 2, 9, 3, 20223);

INSERT INTO Student_Schedule VALUES(60, 'ab1234cd', 2, 34, 1, 20225);
INSERT INTO Student_Schedule VALUES(61, 'ab1234cd', 2, 78, 6, 20225);
INSERT INTO Student_Schedule VALUES(62, 'ab1234cd', 2, 39, 6, 20225);
INSERT INTO Student_Schedule VALUES(63, 'ab1234cd', 2, 32, 1, 20225);
INSERT INTO Student_Schedule VALUES(64, 'ab1234cd', 2, 10, 3, 20225);

INSERT INTO Student_Schedule VALUES(65, 'ab1234cd', 2, 40, 6, 20233);
INSERT INTO Student_Schedule VALUES(66, 'ab1234cd', 2, 42, 6, 20233);
INSERT INTO Student_Schedule VALUES(67, 'ab1234cd', 2, 13, 3, 20233);
INSERT INTO Student_Schedule VALUES(68, 'ab1234cd', 2, 14, 3, 20233);
INSERT INTO Student_Schedule VALUES(69, 'ab1234cd', 2, 16, 3, 20233);

INSERT INTO Student_Schedule VALUES(70, 'ab1234cd', 2, 33, 1, 20235);
INSERT INTO Student_Schedule VALUES(71, 'ab1234cd', 2, 43, 6, 20235);
INSERT INTO Student_Schedule VALUES(72, 'ab1234cd', 2, 19, 3, 20235);
INSERT INTO Student_Schedule VALUES(73, 'ab1234cd', 2, 81, 4, 20235);
INSERT INTO Student_Schedule VALUES(74, 'ab1234cd', 2, 81, 4, 20235);

INSERT INTO Student_Schedule VALUES(75, 'ab1234cd', 2, 36, 1, 20243);
INSERT INTO Student_Schedule VALUES(76, 'ab1234cd', 2, 81, 4, 20243);
INSERT INTO Student_Schedule VALUES(77, 'ab1234cd', 2, 44, 6, 20243);
INSERT INTO Student_Schedule VALUES(78, 'ab1234cd', 2, 20, 3, 20243);
INSERT INTO Student_Schedule VALUES(79, 'ab1234cd', 2, 22, 3, 20243);

INSERT INTO Student_Schedule VALUES(80, 'ab1234cd', 2, 37, 1, 20245);
INSERT INTO Student_Schedule VALUES(81, 'ab1234cd', 2, 24, 5, 20245);
INSERT INTO Student_Schedule VALUES(82, 'ab1234cd', 2, 81, 4, 20245);
INSERT INTO Student_Schedule VALUES(83, 'ab1234cd', 2, 24, 5, 20245);
INSERT INTO Student_Schedule VALUES(84, 'ab1234cd', 2, 24, 5, 20245);


INSERT INTO Student_Schedule VALUES(85, 'ij9012kl', 1, 29, 1, 20213);
INSERT INTO Student_Schedule VALUES(86, 'ij9012kl', 1, 78, 1, 20213);
INSERT INTO Student_Schedule VALUES(87, 'ij9012kl', 1, 1, 3, 20213);
INSERT INTO Student_Schedule VALUES(88, 'ij9012kl', 1, 2, 3, 20213);
INSERT INTO Student_Schedule VALUES(89, 'ij9012kl', 1, 26, 7, 20213);

INSERT INTO Student_Schedule VALUES(90, 'ij9012kl', 1, 30, 1, 20215);
INSERT INTO Student_Schedule VALUES(91, 'ij9012kl', 1, 76, 6, 20215);
INSERT INTO Student_Schedule VALUES(92, 'ij9012kl', 1, 3, 3, 20215);
INSERT INTO Student_Schedule VALUES(93, 'ij9012kl', 1, 4, 3, 20215);
INSERT INTO Student_Schedule VALUES(94, 'ij9012kl', 1, 8, 3, 20215);

INSERT INTO Student_Schedule VALUES(95, 'ij9012kl', 1, 45, 1, 20223);
INSERT INTO Student_Schedule VALUES(96, 'ij9012kl', 1, 80, 1, 20223);
INSERT INTO Student_Schedule VALUES(97, 'ij9012kl', 1, 10, 3, 20223);
INSERT INTO Student_Schedule VALUES(98, 'ij9012kl', 1, 31, 1, 20223);
INSERT INTO Student_Schedule VALUES(99, 'ij9012kl', 1, 89, 6, 20223);

INSERT INTO Student_Schedule VALUES(100, 'ij9012kl', 1, 12, 3, 20225);
INSERT INTO Student_Schedule VALUES(101, 'ij9012kl', 1, 33, 1, 20225);
INSERT INTO Student_Schedule VALUES(102, 'ij9012kl', 1, 53, 1, 20225);
INSERT INTO Student_Schedule VALUES(103, 'ij9012kl', 1, 50, 1, 20225);
INSERT INTO Student_Schedule VALUES(104, 'ij9012kl', 1, 79, 6, 20225);
INSERT INTO Student_Schedule VALUES(105, 'ij9012kl', 1, 14, 3, 20225);

INSERT INTO Student_Schedule VALUES(106, 'ij9012kl', 1, 62, 4, 20233);
INSERT INTO Student_Schedule VALUES(107, 'ij9012kl', 1, 81, 4, 20233);
INSERT INTO Student_Schedule VALUES(108, 'ij9012kl', 1, 81, 4, 20233);
INSERT INTO Student_Schedule VALUES(109, 'ij9012kl', 1, 81, 4, 20233);
INSERT INTO Student_Schedule VALUES(110, 'ij9012kl', 1, 81, 4, 20233);
INSERT INTO Student_Schedule VALUES(111, 'ij9012kl', 1, 16, 3, 20233);

INSERT INTO Student_Schedule VALUES(112, 'ij9012kl', 1, 63, 1, 20235);
INSERT INTO Student_Schedule VALUES(113, 'ij9012kl', 1, 24, 5, 20235);
INSERT INTO Student_Schedule VALUES(114, 'ij9012kl', 1, 65, 1, 20235);
INSERT INTO Student_Schedule VALUES(115, 'ij9012kl', 1, 34, 1, 20235);
INSERT INTO Student_Schedule VALUES(116, 'ij9012kl', 1, 37, 1, 20235);

INSERT INTO Student_Schedule VALUES(117, 'ij9012kl', 1, 24, 5, 20243);
INSERT INTO Student_Schedule VALUES(118, 'ij9012kl', 1, 64, 1, 20243);
INSERT INTO Student_Schedule VALUES(119, 'ij9012kl', 1, 19, 3, 20243);
INSERT INTO Student_Schedule VALUES(120, 'ij9012kl', 1, 40, 6, 20243);
INSERT INTO Student_Schedule VALUES(121, 'ij9012kl', 1, 24, 5, 20243);

INSERT INTO Student_Schedule VALUES(122, 'ij9012kl', 1, 24, 5, 20245);
INSERT INTO Student_Schedule VALUES(123, 'ij9012kl', 1, 23, 3, 20245);
INSERT INTO Student_Schedule VALUES(124, 'ij9012kl', 1, 66, 1, 20245);
INSERT INTO Student_Schedule VALUES(125, 'ij9012kl', 1, 81, 4, 20245);
INSERT INTO Student_Schedule VALUES(126, 'ij9012kl', 1, 24, 5, 20245);


INSERT INTO Student_Schedule VALUES(127, 'ef5678gh', 3, 29, 1, 20213);
INSERT INTO Student_Schedule VALUES(128, 'ef5678gh', 3, 88, 6, 20213);
INSERT INTO Student_Schedule VALUES(129, 'ef5678gh', 3, 1, 3, 20213);
INSERT INTO Student_Schedule VALUES(130, 'ef5678gh', 3, 2, 3, 20213);
INSERT INTO Student_Schedule VALUES(131, 'ef5678gh', 3, 26, 7, 20213);

INSERT INTO Student_Schedule VALUES(132, 'ef5678gh', 3, 30, 1, 20215);
INSERT INTO Student_Schedule VALUES(133, 'ef5678gh', 3, 76, 6, 20215);
INSERT INTO Student_Schedule VALUES(134, 'ef5678gh', 3, 3, 3, 20215);
INSERT INTO Student_Schedule VALUES(135, 'ef5678gh', 3, 8, 3, 20215);
INSERT INTO Student_Schedule VALUES(136, 'ef5678gh', 3, 10, 3, 20215);

INSERT INTO Student_Schedule VALUES(137, 'ef5678gh', 3, 45, 1, 20223);
INSERT INTO Student_Schedule VALUES(138, 'ef5678gh', 3, 80, 6, 20223);
INSERT INTO Student_Schedule VALUES(139, 'ef5678gh', 3, 68, 1, 20223);
INSERT INTO Student_Schedule VALUES(140, 'ef5678gh', 3, 4, 3, 20223);
INSERT INTO Student_Schedule VALUES(141, 'ef5678gh', 3, 90, 6, 20223);

INSERT INTO Student_Schedule VALUES(142, 'ef5678gh', 3, 50, 1, 20225);
INSERT INTO Student_Schedule VALUES(143, 'ef5678gh', 3, 79, 6, 20225);
INSERT INTO Student_Schedule VALUES(144, 'ef5678gh', 3, 33, 1, 20225);
INSERT INTO Student_Schedule VALUES(145, 'ef5678gh', 3, 53, 1, 20225);
INSERT INTO Student_Schedule VALUES(146, 'ef5678gh', 3, 62, 1, 20225);
INSERT INTO Student_Schedule VALUES(147, 'ef5678gh', 3, 12, 3, 20225);

INSERT INTO Student_Schedule VALUES(148, 'ef5678gh', 3, 69, 1, 20233);
INSERT INTO Student_Schedule VALUES(149, 'ef5678gh', 3, 31, 1, 20233);
INSERT INTO Student_Schedule VALUES(150, 'ef5678gh', 3, 63, 1, 20233);
INSERT INTO Student_Schedule VALUES(151, 'ef5678gh', 3, 73, 6, 20233);
INSERT INTO Student_Schedule VALUES(152, 'ef5678gh', 3, 81, 4, 20233);

INSERT INTO Student_Schedule VALUES(153, 'ef5678gh', 3, 54, 1, 20235);
INSERT INTO Student_Schedule VALUES(154, 'ef5678gh', 3, 34, 1, 20235);
INSERT INTO Student_Schedule VALUES(155, 'ef5678gh', 3, 81, 4, 20235);
INSERT INTO Student_Schedule VALUES(156, 'ef5678gh', 3, 14, 3, 20235);
INSERT INTO Student_Schedule VALUES(157, 'ef5678gh', 3, 16, 3, 20235);

INSERT INTO Student_Schedule VALUES(158, 'ef5678gh', 3, 70, 1, 20243);
INSERT INTO Student_Schedule VALUES(159, 'ef5678gh', 3, 81, 4, 20243);
INSERT INTO Student_Schedule VALUES(160, 'ef5678gh', 3, 81, 4, 20243);
INSERT INTO Student_Schedule VALUES(161, 'ef5678gh', 3, 18, 3, 20243);
INSERT INTO Student_Schedule VALUES(162, 'ef5678gh', 3, 23, 3, 20243);

INSERT INTO Student_Schedule VALUES(163, 'ef5678gh', 3, 71, 1, 20245);
INSERT INTO Student_Schedule VALUES(164, 'ef5678gh', 3, 66, 1, 20245);
INSERT INTO Student_Schedule VALUES(165, 'ef5678gh', 3, 81, 4, 20245);
INSERT INTO Student_Schedule VALUES(166, 'ef5678gh', 3, 81, 4, 20245);
INSERT INTO Student_Schedule VALUES(167, 'ef5678gh', 3, 24, 5, 20245);
